CommercialCsiNumber,CommercialDeliveryMonth,UACsiNumber,SymbolCommercial,SymbolUA,ExchangeSymbol,Exchange,Name,SessionType,CloseField,SessionGroup,IsActive,TerminalPointValue,FullPointValue,Currency,ContractSize,Units,MinimumTick,TickValue,DeliveryMonths,StartDate,EndDate,LinkSymbol,TradingTime,OhlcOffset,Footnote,ConversionFactorCode,HasImplied5,HasCurrentDayVolume,HasCurrentDayOpenInterest,HasKnownExpirationDates,LastTotalVolume
100187,0,1187,UMN,UMN,UM,CLEAR,"Northern Illinois Hub Peak Electricity",,Settlement,"",0,0.01,1,USD,"40 MWH per peak day (760-920 MWH)","USD/MWH",5,0.05,VVVVVVVVVVVV,2007-05-15,2018-01-02,"","18:00 - 17:00",,"",2,0,0,0,1,
100188,0,1188,UON,UON,UO,CLEAR,"Northern Illinois Hub Off-Peak Electricity",,Settlement,"",0,0.01,1,USD,"2.5 MWH per Off-Peak Day (880-1060 MWH)","USD/MWH",5,0.05,VVVVVVVVVVVV,2007-05-15,2016-12-30,"","18:00 - 17:15",,"",2,0,0,0,1,
100189,0,1189,XW1,XW1,YW,CBT,"mini Wheat",ETH,Last,"XW,XW1,XW2",1,1.25,10,USD,"1000 bushels","cents/bushel",1,1.25,IIVIVIVIVIIV,2007-05-15,2020-10-28,"","18:00 - 13:45",,"",-1,0,0,0,1,727
100190,0,1190,XW2,XW2,YW,CBT,"mini Wheat",Combined,Settlement,"XW,XW1,XW2",1,1.25,10,USD,"1000 bushels","cents/bushel",1,1.25,IIVIVIVIVIIV,1981-06-25,2020-10-28,"","19:00 - 13:45",,"",-1,0,0,0,1,727
100191,0,1191,XC1,XC1,YC,CBT,"mini Corn",ETH,Last,"XC,XC1,XC2",1,1.25,10,USD,"1000 bushels","cents/bushel",1,1.25,IIVIVIVIVIIV,2007-05-15,2020-10-28,"","18:00 - 13:45",,"",-1,0,0,0,1,2589
100192,0,1192,XC2,XC2,YC,CBT,"mini Corn",Combined,Settlement,"XC,XC1,XC2",1,1.25,10,USD,"1000 bushels","cents/bushel",1,1.25,IIVIVIVIVIIV,2007-05-15,2020-10-28,"","19:00 - 13:45",,"",-1,0,0,0,1,2589
100193,0,1193,XS1,XS1,YK,CBT,"mini Soybeans",ETH,Last,"XS,XS1,XS2",1,1.25,10,USD,"1000 bushels","cents/bushel",1,1.25,VIVIVIVVVIVI,2007-05-15,2020-10-28,"","19:00 - 13:45",,"",-1,0,0,0,1,3510
100194,0,1194,XS2,XS2,YK,CBT,"mini Soybeans",Combined,Settlement,"XS,XS1,XS2",1,1.25,10,USD,"1000 bushels","cents/bushel",1,1.25,VIVIVIVVVIVI,2007-05-15,2020-10-28,"","19:00 - 13:45",,"",-1,0,0,0,1,3510
100195,0,1195,DY,DY,DY,CME,"Dry Whey",,Settlement,"",1,0.44,440,USD,"44000 lb","cents/lb",25,11,VVVVVVVVVVVV,2007-05-22,2020-10-28,"","09:40 - 13:10",,"",3,0,0,0,1,83
100196,0,1196,FXN,FXN,FXN,CME,"e-mini FTSE/Xinhua China 25 Index",,Settlement,"",0,0.5,5,USD,"$5 x Index","Points",50,25,IIVIIVIIVIIV,2007-05-22,2011-06-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100197,0,1197,CYN,CYN,CY,CLEAR,"Brent Calendar Swap",,Settlement,"",1,1,1000,USD,"1000 bbl","$/bbl",1,1,VVVVVVVVVVVV,2006-04-10,2020-10-28,"","18:00 - 17:00",,"",3,0,0,0,1,1510
100198,0,1198,DBN,DBN,DB,CLEAR,"Brent-Dubai Swap",,Settlement,"",1,10,1000,USD,"1000 bbl","$/bbl",1,10,VVVVVVVVVVVV,2007-05-22,2020-10-28,"","18:00 - 17:00",500,"",2,0,0,0,1,0
100199,0,1199,OQL,OQL,,DME,"Crude Oil Oman",,Last,"",1,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,2007-06-01,2020-10-28,"","18:00 - 17:15",,"",2,0,1,0,1,3179
100200,0,1200,QN,QN,,DME,"Brent-Oman Spread",,Settlement,"",0,10,1000,USD,"1000 barrels","USD/Barrels",1,10,VVVVVVVVVVVV,2007-06-01,2008-12-08,"","18:00 - 17:15",500,"",2,0,0,0,1,
100201,0,1201,QNL,QNL,,DME,"Brent-Oman Spread",,Last,"",0,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,2007-06-01,2008-12-08,"","18:00 - 17:15",500,"",2,0,0,0,1,
100202,0,1202,QW,QW,,DME,"WTI-Oman Spread",,Settlement,"",0,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,2007-06-01,2008-12-08,"","18:00 - 17:15",500,"",2,0,0,0,1,
100203,0,1203,QWL,QWL,,DME,"WTI-Oman Spread",,Last,"",0,10,1000,USD,"1000 barrels","USD/barrel",1,10,VVVVVVVVVVVV,2007-06-01,2008-12-08,"","18:00 - 17:15",500,"",2,0,0,0,1,
100204,0,1204,DX1,DX1,DX,ICEUS,"US Dollar Index",ETH,Last,"DX,DX1,DX2",1,1,1000,USD,"$1000 x Index","points",5,5,IIVIIVIIVIIV,2007-06-19,2020-10-28,"","20:00 - 17:00",,"",3,0,0,0,1,14066
100205,0,1205,DX2,DX2,DX,ICEUS,"U.S. Dollar Index",Combined,Settlement,"DX,DX1,DX2",1,1,1000,USD,"$1000 x Index","points",5,5,IIVIIVIIVIIV,1985-11-20,2020-10-28,"DX starts at 1985-11-20","20:00 - 17:00",,"",3,0,0,0,1,14066
100206,0,1206,R1,R1,,ICEUS,"Russell 1000 Index",ETH,Last,"R,R1,R2",0,5,500,USD,"$500 x Index","points",5,25,IIVIIVIIVIIV,2007-06-19,2008-12-19,"","20:00 - 16:15",,"",2,0,0,0,0,
100207,0,1207,R2,R2,,ICEUS,"Russell 1000 Index",Combined,Settlement,"R,R1,R2",0,5,500,USD,"$500 x Index","points",5,25,IIVIIVIIVIIV,1999-03-05,2008-12-19,"R starts at 1999-03-05","20:00 - 16:15",,"",2,0,0,0,0,
100208,0,1208,RM3,RM3,RF,ICEUS,"mini Russell 1000 Index",ETH,Last,"RM2,RM3,RM4",0,0.5,50,USD,"$50 x Index","points",5,2.5,IIVIIVIIVIIV,2007-06-19,2018-06-15,"","20:00 - 16:15",,"",2,0,0,0,1,
100209,0,1209,RM4,RM4,RF,ICEUS,"mini Russell 1000 Index",Combined,Settlement,"RM2,RM3,RM4",0,0.5,50,USD,"$50 x Index","points",10,5,IIVIIVIIVIIV,2007-06-19,2018-06-15,"RM2 starts at 2001-06-22","20:00 - 16:15",,"",2,0,0,0,1,
100210,0,1210,OQO,OQO,,DME,"Crude Oil Oman OSP",,Settlement,"",1,10,1000,USD,"1000 bbl","$/bbl",1,10,VVVVVVVVVVVV,2007-06-01,2020-10-28,"","18:00 - 17:15",,"",2,0,0,0,1,0
100211,0,1211,BZN,BZN,BZ,CLEAR,"Brent Crude Last Day",,Settlement,"",1,10,1000,USD,"1000 bbl","$/bbl",1,10,VVVVVVVVVVVV,2007-07-31,2020-10-28,"","18:00 - 17:00",,"",2,0,0,0,1,75658
100212,0,1212,DON,DON,DO,CLEAR,"Dow Jones Mid-Columbia Electricity Index",,Settlement,"",0,10.2,1020,USD,"40Mwh per peak day (960-1080Mwh)","$/Mwh",5,51,VVVVVVVVVVVV,2007-08-09,2010-12-31,"","18:00 - 17:15",,"",2,0,0,0,1,
100213,0,1213,NIN,NIN,NI,CLEAR,"ISO New England Peak Electricity",,Settlement,"",0,8.4,840,USD,"2.5Mw/hour per peak day (760-920Mwh)","$/Mwh",5,42,VVVVVVVVVVVV,2007-08-09,2017-12-29,"","18:00 - 17:00",,"",2,0,0,0,1,
100214,0,1214,KIN,KIN,KI,CLEAR,"ISO New England Off-Peak Electricity",,Settlement,"",0,9.7,970,USD,"2.5Mw X off-peak hours (880-1060Mwh)","$/Mwh",5,48.5,VVVVVVVVVVVV,2007-08-09,2017-12-29,"","18:00 - 17:00",,"",2,0,0,0,1,
100215,0,1215,EMN,EMN,EM,CLEAR,"MISO Cinergy Peak Electricity",,Settlement,"",0,8.4,840,USD,"40Mwh per peak day (760-920Mwh)","$/Mwh",5,42,VVVVVVVVVVVV,2007-08-09,2018-12-31,"","18:00 - 17:00",,"",2,0,0,0,1,
100216,0,1216,EJN,EJN,EJ,CLEAR,"MISO Cinergy Off-Peak Electricity",,Settlement,"",0,9.7,970,USD,"2.5Mw X off-peak hours (880-1060Mwh)","$/Mwh",5,48.5,VVVVVVVVVVVV,2007-08-09,2018-12-31,"","18:00 - 17:00",,"",2,0,0,0,1,
100217,0,1217,FZE,fze,FZE,CBT,"Ethanol Forward Month Calendar Swap",,Settlement,"",1,1.45,14500,USD,"14500 gal","$/gal",1,1.45,VVVVVVVVVVVV,2006-12-20,2020-10-28,"","18:00 - 17:00",,"",4,0,0,0,1,0
100218,0,1218,TO1,TO1,,ICEUS,"Russell 2000",ETH,Last,"TO,TO1,TO2",0,5,500,USD,"$500 x Index","Points",5,25,IIVIIVIIVIIV,2007-08-16,2008-12-19,"","20:00 - 16:15",,"",2,0,0,0,0,
100219,0,1219,TO2,TO2,,ICEUS,"Russell 2000",Combined,Settlement,"TO,TO1,TO2",0,5,500,USD,"$500 x Index","Points",5,25,IIVIIVIIVIIV,2007-08-16,2008-12-19,"TF2 starts at 2007-08-17","16:45 - 16:15",,"",2,0,0,0,0,
100220,0,1220,,TF,TF,ICEUS,"mini Russell 2000 Index",Combined,Settlement,"",0,0.5,50,USD,"$50 x Index","Points",10,5,IIVIIVIIVIIV,2014-11-28,2014-12-01,"ER2 starts at 2001-10-23","20:00 - 16:15",,"",2,0,0,0,1,
100221,0,1221,SMP,SMP,SMP,CME,"S&P 600 SmallCap",Combined,Settlement,"",0,5,500,USD,"$500 x Index","Points",5,25,IIVIIVIIVIIV,2007-08-20,2015-06-18,"","17:00 - 16:15",,"",2,0,0,0,1,
100222,0,1222,JN2,JN2,NK225,OSE,"Nikkei 225 Index",RTH,Settlement,"JNI,JN2,JN1",1,1000,1000,JPY,"JPY 1000 x Index","points",10,10000,IIVIIVIIVIIV,2007-09-18,2020-10-28,"JNI starts at 1988-09-03","09:00 - 15:15",,"",0,0,1,1,1,33392
100223,0,1223,JN1,JN1,NK225,OSE,"Nikkei 225 Index",ETH,Last,"JNI,JN2,JN1",1,1000,1000,JPY,"JPY 1000 x Index","points",10,10000,IIVIIVIIVIIV,2007-09-18,2020-10-28,"JNI starts at 1988-09-03","16:30 - 03:00",,"",0,0,1,1,1,17558
100224,0,1224,JAM,JAM,OM-GD,OSE,"mini Gold",RTH,Settlement,"JAM,JA4,JA3",1,100,100,JPY,"100g","JPY/gram",1,100,IVIVIVIVIVIV,2007-09-25,2020-10-28,"","09:00 - 15:30",,"",0,0,1,0,1,1673
100225,0,1225,WP,WP,WP,CME,"Softwood Pulp",,Settlement,"",0,0.2,20,USD,"20 metric tons","USD/metric ton",50,10,VVVVVVVVVVVV,2007-09-21,2012-12-24,"","17:00 - 16:00",,"",2,0,0,0,1,
100226,0,1226,NF,NF,NF,CME,"Non-Fat Dry Milk",,Settlement,"",1,0.44,440,USD,"44000 lb","cents/lb",25,11,VVVVVVVVVVVV,2007-09-21,2020-10-28,"","09:25 - 13:10",,"",3,0,0,0,1,406
100227,0,1227,DA2,DA2,DA,CME,"Class III Milk",RTH,Settlement,"DA,DA2,DA1",1,20,2000,USD,"200000 lb","$/100 lb",1,20,VVVVVVVVVVVV,2007-09-21,2020-10-28,"","17:00 - 13:55",,"",2,0,0,0,1,0
100228,0,1228,DA1,DA1,DA,CME,"Class III Milk",ETH,Last,"DA,DA2,DA1",1,20,2000,USD,"200000 lb","$/100 lb",1,20,VVVVVVVVVVVV,2007-09-21,2020-10-28,"","09:05 - 13:30",,"",2,0,0,0,1,2095
100229,0,1229,LBA,LBA,LBA,CME,"Barclay Cap US (Lehman Brothers US Aggregate Index)",,Settlement,"",0,1,100,USD,"$100 X Index","Points",20,20,IIVIIVIIVIIV,2007-10-01,2015-06-05,"","17:00 - 16:00",,"",2,0,0,0,1,
100230,0,1230,PPD,PPD,,LME,"Polypropylene - Global",,Settlement,"",0,0.2475,24.75,USD,"24.75 tonnes","$/Tonne",1,0.2475,VVVVVVVVVVVV,2007-10-01,2011-05-18,"","01:00 - 19:00",,"",2,0,0,0,1,
100231,0,1231,PPA,PPA,,LME,"Polypropylene - Asia",,Settlement,"",0,0.2475,24.75,USD,"24.75 tonnes","$/Tonne",1,0.2475,VVVVVVVVVVVV,2007-10-01,2011-05-02,"","01:00 - 19:00",,"",2,0,0,0,1,
100232,0,1232,PPE,PPE,,LME,"Polypropylene - Europe",,Settlement,"",0,0.2475,24.75,USD,"24.75 tonnes","$/Tonne",1,0.2475,VVVVVVVVVVVV,2007-10-01,2011-05-02,"","01:00 - 19:00",,"",2,0,0,0,1,
100233,0,1233,PPN,PPN,,LME,"Polypropylene - North America",,Settlement,"",0,0.2475,24.75,USD,"24.75 tonnes","$/Tonne",1,0.2475,VVVVVVVVVVVV,2007-10-01,2011-05-02,"","01:00 - 19:00",,"",2,0,0,0,1,
100234,0,1234,LLD,LLD,,LME,"Linear Low Density Polyethylene - Global",,Settlement,"",0,0.2475,24.75,USD,"24.75 tonnes","$/Tonne",1,0.2475,VVVVVVVVVVVV,2007-10-01,2011-05-18,"","01:00 - 19:00",,"",2,0,0,0,1,
100235,0,1235,LLA,LLA,,LME,"Linear Low Density Polyethylene - Asia",,Settlement,"",0,0.2475,24.75,USD,"24.75 tonnes","$/Tonne",1,0.2475,VVVVVVVVVVVV,2007-10-01,2011-05-02,"","01:00 - 19:00",,"",2,0,0,0,1,
100236,0,1236,LLE,LLE,,LME,"Linear Low Density Polyethylene - Europe",,Settlement,"",0,0.2475,24.75,USD,"24.75 tonnes","$/Tonne",1,0.2475,VVVVVVVVVVVV,2007-10-01,2011-05-02,"","01:00 - 19:00",,"",2,0,0,0,1,
100237,0,1237,LLN,LLN,,LME,"Linear Low Density Polyethylene - North America",,Settlement,"",0,0.2475,24.75,USD,"24.75 tonnes","$/Tonne",1,0.2475,VVVVVVVVVVVV,2007-10-01,2011-05-02,"","01:00 - 19:00",,"",2,0,0,0,1,
100238,0,1238,JG2,JG2,JGBL,OSE,"10-Year Japanese Govt Bond",Combined,Settlement,"JGB,JG2,JG1",1,10000,1000000,JPY,"JPY 100000000","percent",1,10000,IIVIIVIIVIIV,1990-04-04,2020-10-28,"","15:30 - 15:00",,"",2,0,1,1,1,23271
100239,0,1239,JG1,JG1,JGBL,OSE,"10-Year Japanese Govt Bond",ETH,Last,"JGB,JG2,JG1",1,10000,1000000,JPY,"JPY 100000000","percent",1,10000,IIVIIVIIVIIV,2007-10-11,2020-10-28,"","15:30 - 03:00",,"",2,0,1,1,1,5469
100240,0,1240,JN4,JN4,,OSE,"Nikkei 300 Index",RTH,Settlement,"JNW,JN4,JN3",0,1000,10000,JPY,"JPY10000 x Index","points",1,1000,IIVIIVIIVIIV,2007-10-10,2014-07-25,"","09:00 - 15:10",,"",1,0,1,1,1,
100241,0,1241,JN3,JN3,,OSE,"Nikkei 300 Index",ETH,Last,"JNW,JN4,JN3",0,1000,10000,JPY,"JPY10000 x Index","points",1,1000,IIVIIVIIVIIV,2007-10-11,2014-07-28,"","16:15 - 16:30",,"",1,0,1,0,1,
100242,0,1242,JN6,JN6,NK225M,OSE,"mini Nikkei 225 Index",RTH,Settlement,"JNM,JN6,JN5",1,100,100,JPY,"JPY 100 x Index","points",5,500,SSVSSVSSVSSV,2006-09-27,2020-10-28,"","09:00 - 15:15",,"",0,0,1,1,1,430909
100243,0,1243,JN5,JN5,NK225M,OSE,"mini Nikkei 225 Index",ETH,Last,"JNM,JN6,JN5",1,100,100,JPY,"JPY 100 x Index","points",5,500,SSVSSVSSVSSV,2007-09-19,2020-10-28,"","16:30 - 03:00",,"",0,0,1,1,1,297986
100244,0,1244,DEY,DEY,FESY,EUREX,"Euro STOXX Technology",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2007-10-23,2020-10-28,"","07:50 - 22:00",,"",2,0,1,0,1,54
100245,0,1245,DJY,DJY,FSTY,EUREX,"STOXX Europe 600 Technology",,Settlement,"",1,0.5,50,EUR,"EUR 50 x Index","points",10,5,IIVIIVIIVIIV,2007-10-23,2020-10-28,"","07:50 - 22:00",,"",2,0,1,0,1,1502
100246,0,1246,MMN,MMN,MM,CLEAR,"New York Harbor Residual Fuel 1% Sulfur Swap",,Settlement,"",1,10,1000,USD,"1000 barrels","USD/bbl",1,10,VVVVVVVVVVVV,2007-11-13,2020-10-28,"","18:00 - 17:00",,"",2,0,0,0,1,0
100247,0,1247,LWN,LWN,,CLEAR,"Gulf Coast Low Sulfur Diesel Swap",,Settlement,"",0,4.2,42000,USD,"42000 gallons","USD/gal",1,4.2,VVVVVVVVVVVV,2007-11-13,2009-11-23,"","18:00 - 17:15",,"",4,0,0,0,1,
100248,0,1248,MFN,MFN,MF,CLEAR,"Gulf Coast No. 6 Fuel Oil 3% Sulfur Swap",,Settlement,"",1,10,1000,USD,"1000 barrels","USD/bbl",1,10,VVVVVVVVVVVV,2007-11-13,2020-10-28,"","18:00 - 17:00",,"",2,0,0,0,1,158
100249,0,1249,UFN,UFN,UF,CLEAR,"Northwest Europe 1% Fuel Oil Swap",,Settlement,"",1,1,1000,USD,"1000 tonnes","USD/tonne",1,1,VVVVVVVVVVVV,2007-11-13,2020-10-28,"","18:00 - 17:00",,"",3,0,0,0,1,0
100250,0,1250,UHN,UHN,UH,CLEAR,"Rotterdam 1% Fuel Oil Swap",,Settlement,"",1,1,1000,USD,"1000 tonnes","USD/tonne",1,1,VVVVVVVVVVVV,2007-11-13,2020-10-28,"","18:00 - 17:00",,"",3,0,0,0,1,0
100251,0,1251,H1C,H1C,H1,CME,"HDD Atlanta",,Settlement,"",1,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,1999-09-22,2020-10-28,"","17:00 - 15:15",,"",1,0,0,0,1,0
100252,0,1252,H2C,H2C,H2,CME,"HDD Chicago",,Settlement,"",1,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,1999-09-22,2020-10-28,"","17:00 - 15:15",,"",1,0,0,0,1,250
100253,0,1253,H3C,H3C,H3,CME,"HDD Cincinnati",,Settlement,"",1,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,1999-09-22,2020-10-28,"","17:00 - 15:15",,"",1,0,0,0,1,0
100254,0,1254,H4C,H4C,H4,CME,"HDD New York",,Settlement,"",1,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,1999-09-22,2020-10-28,"","17:00 - 15:15",,"",1,0,0,0,1,250
100255,0,1255,H5C,H5C,H5,CME,"HDD Dallas",,Settlement,"",1,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2000-01-31,2020-10-28,"","17:00 - 15:15",,"",1,0,0,0,1,0
100256,0,1256,H6C,H6C,H6,CME,"HDD Philadelphia",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2000-01-31,2016-05-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100257,0,1257,H7C,H7C,H7,CME,"HDD Portland",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2000-01-31,2016-05-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100258,0,1258,H8C,H8C,H8,CME,"HDD Tucson",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2000-01-31,2016-05-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100259,0,1259,H9C,H9C,H9,CME,"HDD Des Moines",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2000-01-31,2016-05-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100260,0,1260,H0C,H0C,H0,CME,"HDD Las Vegas",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2000-01-31,2019-01-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100261,0,1261,HKC,HKC,HK,CME,"HDD Detroit",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2007-12-12,2015-06-08,"","17:00 - 15:15",,"",1,0,0,0,1,
100262,0,1262,HQC,HQC,HQ,CME,"HDD Minneapolis",,Settlement,"",1,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2007-12-11,2020-10-28,"","17:00 - 15:15",,"",1,0,0,0,1,0
100263,0,1263,HRC,HRC,HR,CME,"HDD Houston",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2007-12-11,2016-05-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100264,0,1264,HSC,HSC,HS,CME,"HDD Sacramento",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2007-12-11,2019-01-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100265,0,1265,HAC,HAC,HA,CME,"HDD Salt Lake City",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2007-12-12,2015-06-08,"","17:00 - 15:15",,"",1,0,0,0,1,
100266,0,1266,HVC,HVC,HV,CME,"HDD Baltimore",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2007-12-11,2015-06-08,"","17:00 - 15:15",,"",1,0,0,0,1,
100267,0,1267,HWC,HWC,HW,CME,"HDD Boston",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2007-12-11,2016-05-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100268,0,1268,HXC,HXC,HX,CME,"HDD Kansas City",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,VVVVIIIIIVVV,2007-12-11,2016-05-03,"","17:00 - 15:15",,"",1,0,0,0,1,
100269,0,1269,K1C,K1C,K1,CME,"CDD Atlanta",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2018-11-02,"","17:00 - 15:15",,"",1,0,0,0,1,
100270,0,1270,K2C,K2C,K2,CME,"CDD Chicago",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2018-11-02,"","17:00 - 15:15",,"",1,0,0,0,1,
100271,0,1271,K3C,K3C,K3,CME,"CDD Cincinnati",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2018-11-02,"","17:00 - 15:15",,"",1,0,0,0,1,
100272,0,1272,K4C,K4C,K4,CME,"CDD New York",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2018-11-02,"","17:00 - 15:15",,"",1,0,0,0,1,
100273,0,1273,K5C,K5C,K5,CME,"CDD Dallas",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2020-09-02,"","17:00 - 15:15",,"",1,0,0,0,1,
100274,0,1274,K6C,K6C,K6,CME,"CDD Philadelphia",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2015-11-04,"","17:00 - 15:15",,"",1,0,0,0,1,
100275,0,1275,K7C,K7C,K7,CME,"CDD Portland",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2015-11-04,"","17:00 - 15:15",,"",1,0,0,0,1,
100276,0,1276,K8C,K8C,K8,CME,"CDD Tucson",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2015-11-04,"","17:00 - 15:15",,"",1,0,0,0,1,
100277,0,1277,K9C,K9C,K9,CME,"CDD Des Moines",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2015-11-04,"","17:00 - 15:15",,"",1,0,0,0,1,
100278,0,1278,K0C,K0C,K0,CME,"CDD Las Vegas",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2000-01-31,2018-11-02,"","17:00 - 15:15",,"",1,0,0,0,1,
100279,0,1279,KKC,KKC,KK,CME,"CDD Detroit",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2007-12-12,2015-06-08,"","17:00 - 15:15",,"",1,0,0,0,1,
100280,0,1280,KQC,KQC,KQ,CME,"CDD Minneapolis",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2007-12-12,2018-11-02,"","17:00 - 15:15",,"",1,0,0,0,1,
100281,0,1281,KRC,KRC,KR,CME,"CDD Houston",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2007-12-12,2015-06-08,"","17:00 - 15:15",,"",1,0,0,0,1,
100282,0,1282,KSC,KSC,KS,CME,"CDD Sacramento",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2007-12-12,2018-11-02,"","17:00 - 15:15",,"",1,0,0,0,1,
100283,0,1283,KUC,KUC,KU,CME,"CDD Salt Lake City",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2007-12-12,2015-06-08,"","17:00 - 15:15",,"",1,0,0,0,1,
100284,0,1284,KVC,KVC,KV,CME,"CDD Baltimore",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2007-12-12,2015-11-04,"","17:00 - 15:15",,"",1,0,0,0,1,
100285,0,1285,KWC,KWC,KW,CME,"CDD Boston",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2007-12-12,2015-11-04,"","17:00 - 15:15",,"",1,0,0,0,1,
100286,0,1286,KXC,KXC,KX,CME,"CDD Kansas City",,Settlement,"",0,2,20,USD,"USD 20 x Index","points",10,20,IIIVVVVVVVII,2007-12-12,2015-06-08,"","17:00 - 15:15",,"",1,0,0,0,1,
100287,0,1287,SHG,SHG,AU,SHFE,"Gold",,Settlement,"",1,10,1000,CNY,"1000 g","CNY/g",1,10,SVSVSVSVSVSV,2008-01-16,2020-10-28,"","21:00 - 15:00",,"",2,0,1,1,1,211628
100288,0,1288,SOC,SOC,,CCFE,"Sulfur Emissions",,Settlement,"",0,0.25,25,USD,"25 U.S. EPA SO2 Emission Allowances","USD / EPA SO2 Emission Allowance",10,2.5,VVVVVVVVVVVV,2004-12-10,2012-02-13,"","07:30 - 15:00",,"",2,0,1,0,1,
100289,0,1289,XKN,XKN,XK,NYMEX,"Crude Oil Backwardation/Contango Index",,Settlement,"",0,2,200,USD,"USD 200 x Index","points",5,10,IIIIIIIIIIIV,2008-02-11,2012-10-31,"","18:00 - 17:15",,"",2,0,0,0,1,
100290,0,1290,XCN,XCN,XC,NYMEX,"Crude MACI Inx",,Settlement,"",0,2,200,USD,"USD 200 x Index","points",5,10,VIIIIIIIIIII,2008-02-11,2012-04-13,"","18:00 - 17:15",,"",2,0,0,0,1,
100291,0,1291,DSI,DSI,DS,DGCX,"Silver",,Settlement,"",1,1,10,USD,"1000 troy oz","cents/troy oz",5,5,IIVIVIVIVIIV,2008-02-12,2020-10-28,"","08:30 - 23:30",,"",1,0,1,1,1,77
100292,0,1292,DSR,DSR,,DGCX,"Steel Rebar",,Settlement,"",0,0.1,10,USD,"10 tonnes","USD/tonne",10,1,VVVVVVVVVVVV,2008-02-12,2013-02-06,"","10:00 - 18:00",,"",2,0,1,1,1,
